Full Name,Email,Phone,Company,Lead Source,Deal Value,Close Date,Needs Review,First Name,Last Name
John Smith,john.smith@gmail.com,+639123456789,AGENCY ALPHA,linkedin,5000.0,2024-05-12,False,John,Smith
Mike Ross,mike.ross@hotmail.com,+639128887766,GOLIATH INDUSTRIES,linkedin,5000.0,2024-05-12,False,Mike,Ross
Harvey Specter,h.specter@pearson.com,+639121112222,Unknown - Needs Review,linkedin,15000.0,2024-05-12,False,Harvey,Specter
Donna Paulsen,donna.p@legal.com,+639123334444,PEARSON HARDMAN,linkedin,12500.0,2024-05-12,False,Donna,Paulsen
Louis Litt,llitt@suits.com,+639126667777,LITT GUNDERSON,linkedin,3000.0,2024-12-05,False,Louis,Litt
Jessica Pearson,jessica@pearson.com,+639127778888,PEARSON,Unknown,25000.0,2024-06-01,False,Jessica,Pearson
Tom Hanks,t.hanks@movies.com,+639159990000,PLAYTONE,linkedin,10000.0,2024-06-01,False,Tom,Hanks
Leonardo Dicaprio,leo@climate.org,+639170001111,ECO CORP,linkedin,5500.0,2024-06-01,False,Leonardo,Dicaprio
Brad Pitt,brad.p@planb.com,+639172223333,PLAN B,linkedin,7500.0,2024-06-01,False,Brad,Pitt
Cate Blanchett,cate.b@theatre.com,+639174445555,GLOBAL ARTS,linkedin,9000.0,2024-06-01,False,Cate,Blanchett
Denzel Washington,d.wash@actor.com,+639185556666,Unknown - Needs Review,linkedin,20000.0,2024-07-15,False,Denzel,Washington
Idris Elba,idris@dj.com,+639189990000,LUTHER INC,linkedin,4500.0,2024-07-15,False,Idris,Elba
Tom Hardy,t.hardy@venom.com,+639191112222,BANE CORP,linkedin,8000.0,2024-07-15,False,Tom,Hardy
Cillian Murphy,c.murphy@peaky.com,+639193334444,Unknown - Needs Review,linkedin,11000.0,2024-07-15,False,Cillian,Murphy
Emily Blunt,e.blunt@quiet.com,+639195556666,AQUIETPLACE,linkedin,13000.0,2024-07-15,False,Emily,Blunt
