First Name,Last Name,Email,Company,Phone,Lifecycle Stage,Created At
Jane,Smith, jane.smith@yahoo.com ,-,+1 555 123 4567,Customer,Jan 29 2024
Bob,Clark,,Umbrella Corp,5551234567,marketing qualified lead,08/27/2023
Mike,Garcia,mike.garcia@company.com,Acme Inc,+1 555 123 4567,marketing qualified lead,04/10/2022
ANNA,Clark,anna.clark@gmail.com,-,(555) 123-4567,Customer,09/26/2023
Chris,Doe, chris.doe@test.con ,Initech,09171234567,Customer,05/04/2024
Jane,Lopez,jane.lopez@yahoo.com,Globex,09171234567,marketing qualified lead,Oct 04 2022
John,Johnson,john.johnson@test.con,Initech,+1 555 123 4567,Lead,Jul 24 2024
MIKE,davis,mike.davis@gmail,Soylent,(555) 123-4567,Customer,08/22/2023
Alice,Clark, alice.clark@gmail.com ,Globex,5551234567,Customer,Mar 09 2023
David,Lee,david.lee@gmail.com,Hooli,+1 555 123 4567,Customer,Jun 25 2024
CHRIS,martinez,chris.martinez@company.com,Soylent,5551234567,customer,2024-07-23
EMILY,Johnson, emily.johnson@gmail ,Stark Industries,+1 555 123 4567,customer,11/28/2022
CHRIS,Johnson,chris.johnson@gmail.com,Acme Inc,09171234567,lead,Feb 18 2024
David,Brown,david.brown@test.con,Globex,5551234567,Customer,11/16/2022
DAVID,Davis, david.davis@company.com ,Acme Inc,5551234567,customer,2022-08-14
JOHN,Garcia,john.garcia@test.con,Globex,5551234567,Customer,Aug 15 2024
MIKE,Johnson, mike.johnson@company.com ,Umbrella Corp,09171234567,marketing qualified lead,Jun 03 2024
John,Martinez, john.martinez@gmail.com ,Globex,5551234567,Lead,07/04/2023
Jane,Davis, jane.davis@gmail.com ,Acme Inc,+1 555 123 4567,lead,2024-08-06
MIKE,smith,mike.smith@test.con,Initech,09171234567,MQL,Mar 10 2023
ANNA,Brown, anna.brown@gmail.com ,Soylent,+1 555 123 4567,Customer,2022-11-18
DAVID,Brown,david.brown@yahoo.com,Acme Inc,+1 555 123 4567,Customer,2024-06-01
EMILY,lopez,emily.lopez@gmail,Soylent,(555) 123-4567,MQL,Jul 29 2022
Chris,Davis, chris.davis@gmail.com ,Acme Inc,09171234567,customer,2023-07-31
Sara,Doe,sara.doe@yahoo.com,Umbrella Corp,(555) 123-4567,customer,Apr 06 2024
Jane,Brown,jane.brown@gmail,Globex,(555) 123-4567,MQL,2023-09-12
Chris,Clark,chris.clark@gmail.com,Acme Inc,09171234567,MQL,2022-02-15
Alice,Davis,alice.davis@gmail.com,Acme Inc,+1 555 123 4567,Customer,2024-07-14
ALICE,Martinez, alice.martinez@gmail.com ,Initech,5551234567,Customer,Sep 13 2022
Mike,Lopez, mike.lopez@yahoo.com ,Stark Industries,5551234567,Lead,06/21/2024
Mike,Johnson,mike.johnson@gmail.com,Umbrella Corp,+1 555 123 4567,marketing qualified lead,2022-08-16
BOB,johnson,bob.johnson@company.com,Initech,+1 555 123 4567,MQL,Dec 26 2022
SARA,Smith,sara.smith@yahoo.com,Soylent,(555) 123-4567,lead,Apr 22 2022
EMILY,Clark,emily.clark@yahoo.com,Initech,+1 555 123 4567,Customer,2023-03-23
Bob,Garcia,bob.garcia@company.com,Soylent,(555) 123-4567,Customer,2024-05-18
Mike,Garcia,mike.garcia@yahoo.com,Globex,09171234567,Customer,08/20/2024
Chris,martinez,chris.martinez@company.com,Globex,09171234567,customer,Sep 14 2023
David,Davis,david.davis@yahoo.com,Hooli,+1 555 123 4567,MQL,Jun 12 2023
Bob,lee,bob.lee@gmail.com,Acme Inc,5551234567,marketing qualified lead,2023-09-18
Mike,davis,mike.davis@gmail.com,Stark Industries,+1 555 123 4567,marketing qualified lead,2022-08-13
David,johnson,david.johnson@yahoo.com,Stark Industries,09171234567,Customer,Jun 28 2023
Emily,Clark,emily.clark@test.con,Globex,09171234567,marketing qualified lead,2022-09-23
Anna,johnson, anna.johnson@company.com ,Globex,(555) 123-4567,MQL,Nov 24 2022
ALICE,Johnson,alice.johnson@gmail,Umbrella Corp,09171234567,lead,07/31/2022
John,lopez,john.lopez@company.com,Initech,09171234567,marketing qualified lead,Jul 06 2023
Anna,Johnson,anna.johnson@test.con,Initech,09171234567,Customer,06/19/2022
Mike,lopez,mike.lopez@test.con,Globex,09171234567,Lead,02/21/2022
Mike,Lee,mike.lee@company.com,Stark Industries,+1 555 123 4567,marketing qualified lead,Jan 20 2022
Jane,Smith, jane.smith@yahoo.com ,Stark Industries,+1 555 123 4567,customer,2022-06-06
Bob,Davis,,Soylent,+1 555 123 4567,Lead,09/14/2024
Mike,martinez,mike.martinez@gmail,Hooli,5551234567,lead,12/15/2023
Emily,Smith,emily.smith@company.com,Acme Inc,(555) 123-4567,lead,05/19/2024
Anna,Brown,anna.brown@company.com,Soylent,09171234567,marketing qualified lead,Mar 23 2023
Jane,Lee,jane.lee@test.con,Soylent,09171234567,MQL,01/30/2022
Chris,Garcia, chris.garcia@company.com ,Soylent,+1 555 123 4567,customer,2024-08-28
Bob,Davis,bob.davis@gmail.com,Acme Inc,(555) 123-4567,Lead,Feb 19 2023
David,Clark,david.clark@gmail,Initech,(555) 123-4567,Customer,04/10/2023
Sara,Doe,sara.doe@yahoo.com,Globex,5551234567,Customer,05/11/2023
Chris,Doe,,Globex,(555) 123-4567,lead,Dec 27 2023
Chris,Brown,chris.brown@gmail.com,Stark Industries,+1 555 123 4567,customer,10/19/2022
CHRIS,davis,,Acme Inc,+1 555 123 4567,Lead,Jun 02 2022
David,Martinez,david.martinez@yahoo.com,Stark Industries,09171234567,marketing qualified lead,07/19/2024
EMILY,Lopez,emily.lopez@gmail.com,Stark Industries,5551234567,Customer,08/05/2022
JANE,Brown,jane.brown@gmail,Umbrella Corp,(555) 123-4567,lead,08/26/2022
Bob,Lee, bob.lee@yahoo.com ,Umbrella Corp,+1 555 123 4567,customer,Aug 19 2022
