first name,last name,email,company,phone,lifecycle stage,created at
Jane,Smith,jane.smith@yahoo.com,-,+445551234567,customer,2024-01-29
Mike,Garcia,mike.garcia@company.com,Acme Inc,+445551234567,marketingqualifiedlead,2022-04-10
Anna,Clark,anna.clark@gmail.com,-,+445551234567,customer,2023-09-26
Chris,Doe,chris.doe@test.con,Initech,+449171234567,customer,2024-05-04
Jane,Lopez,jane.lopez@yahoo.com,Globex,+449171234567,marketingqualifiedlead,2022-10-04
John,Johnson,john.johnson@test.con,Initech,+445551234567,lead,2024-07-24
Alice,Clark,alice.clark@gmail.com,Globex,+445551234567,customer,2023-03-09
David,Lee,david.lee@gmail.com,Hooli,+445551234567,customer,2024-06-25
Chris,Martinez,chris.martinez@company.com,Soylent,+445551234567,customer,2024-07-23
Chris,Johnson,chris.johnson@gmail.com,Acme Inc,+449171234567,lead,2024-02-18
David,Brown,david.brown@test.con,Globex,+445551234567,customer,2022-11-16
David,Davis,david.davis@company.com,Acme Inc,+445551234567,customer,2022-08-14
John,Garcia,john.garcia@test.con,Globex,+445551234567,customer,2024-08-15
Mike,Johnson,mike.johnson@company.com,Umbrella Corp,+449171234567,marketingqualifiedlead,2024-06-03
John,Martinez,john.martinez@gmail.com,Globex,+445551234567,lead,2023-07-04
Jane,Davis,jane.davis@gmail.com,Acme Inc,+445551234567,lead,2024-08-06
Mike,Smith,mike.smith@test.con,Initech,+449171234567,marketingqualifiedlead,2023-03-10
Anna,Brown,anna.brown@gmail.com,Soylent,+445551234567,customer,2022-11-18
David,Brown,david.brown@yahoo.com,Acme Inc,+445551234567,customer,2024-06-01
Chris,Davis,chris.davis@gmail.com,Acme Inc,+449171234567,customer,2023-07-31
Sara,Doe,sara.doe@yahoo.com,Umbrella Corp,+445551234567,customer,2024-04-06
Chris,Clark,chris.clark@gmail.com,Acme Inc,+449171234567,marketingqualifiedlead,2022-02-15
Alice,Davis,alice.davis@gmail.com,Acme Inc,+445551234567,customer,2024-07-14
Alice,Martinez,alice.martinez@gmail.com,Initech,+445551234567,customer,2022-09-13
